user,user_location,text,favorite_count,retweet_count
🏳️‍🌈 Golden Grahams 🇨🇦,,"Just got my first dose of the covid vaccine. It went very smoothly! Much love to everyone out there. This is how a virus is fought. Do your homework, check your sources, be smart, be brave, get vaccinated.",1,0
Scott D. Banville,,"RT @aegallo: In a letter that will be read at all Baton Rouge masses this weekend, Bishop Michael Duca says that receiving the COVID vaccin…",0,25
Tim Maliyil,JFK - LAS - LAX - TPE,RT @TIME: mRNA technology gave us the first COVID-19 vaccines. It could also upend the drug industry https://t.co/VhSJestxuf,0,128
steve.,East Coast.,It’s absolutely absurd to me that there’s a covid vaccine that’s not easily accessible and is going to waste in some states.,2,1
❌Mark lingerfelt❌,U.S.A.  🇺🇸🇺🇸🇺🇸,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Mr Richard Head to you,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Steve Hofstetter,"Los Angeles, CA","If anyone would like to see the actual numbers, I find this site to be the most helpful:

https://t.co/FY4jvSWTbX",5,0
madigan,,"RT @AlexBerenson: BIG news: Citing post-vaccination deaths, Norway now says “very frail” people should NOT receive the #Covid vaccine. 

No…",0,4304
buaman,,RT @FatEmperor: It's a bugger when the main cohort who need protection are the ones maybe not able to get it. One wonders where this is goi…,0,19
Sharon Molleur,,"RT @HighWireTalk: To ensure the safety of #Covid19 vaccines for all, a simple and free resource to properly report any #COVID vaccine react…",0,184
TOI Lucknow News,Lucknow,"Uttar Pradesh: Indigenous Covid vaccine to be exported, says Rajnath Singh https://t.co/IYqrWgFZY9",0,0
I am Farmer,"Sydney, New South Wales","RT @PunyaPrakop_: Today when the Anti-Covid Vaccine is being rolled out, Moon is in Kumbha Rashi &amp; Shatabhisha Nakshatra.

“Shata Bhisha” ~…",0,168
gothel,,"RT @DrNeilStone: Can we all just definitively agree that not a single dose of Covid vaccine should be wasted, and that if any are left over…",0,300
"Chrysi Cat (no, Karen is STILL my sister!)","Parker, CO",RT @erossny123: @girlsreallyrule Trump isn't finished killing us. https://t.co/9uY3giJ2Pc,0,18
meme,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Dobie's mama,"Port Charlotte, FL","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4454
Jack,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
LeoInterVir,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Meidas_Jeremy,"Little Rock, AR",RT @TeddiThompsonS1: My wife is in line about to get her first covid vaccine. Some teachers are finally getting them.,0,37
DepressionBot,here,RT @MoodGoddess: Does the covid vaccine cause overwhelming anxiety &amp; crippling depression? Becauseeeee... oh.. wait. Nvm.,0,1
Ricky Arriola,"Miami Beach, FL",Deaths spur Norway concern at Covid vaccine safety for vulnerable elderly https://t.co/zSYVVx4M52,0,0
🌻🌻🌻🌻,,RT @middleageriot: Anyone who refused to wear a mask should only be allowed to receive the COVID vaccine anally using a cactus.,0,109
Mary Holschuh,"Cincinnati,ohio","RT @dananessel: After speaking with my local health department, turns out 2020 having aged me 25 years still does not qualify me for the Co…",0,79
y gracia,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
